year,month,season,date,site,site_number,rep,microsite,mass_g
2019,July,summer,06-Jul-19,Mojave,M2,21,larrea,0.3851
2019,July,summer,07-Jul-19,Mojave,M2,21,ephedra,0.4835
2019,July,summer,07-Jul-19,Mojave,M2,21,open,0.1647
2019,July,summer,08-Jul-19,Mojave,M2,22,ephedra,1.9529
2019,July,summer,08-Jul-19,Mojave,M2,22,larrea,2.5442
2019,July,summer,08-Jul-19,Mojave,M2,22,open,1.7835
2019,July,summer,06-Jul-19,Mojave,M2,23,larrea,0.6458
2019,July,summer,07-Jul-19,Mojave,M2,23,ephedra,0.2881
2019,July,summer,07-Jul-19,Mojave,M2,23,open,0.814
2019,July,summer,06-Jul-19,Mojave,M2,24,larrea,2.6099
2019,July,summer,07-Jul-19,Mojave,M2,24,ephedra,1.3882
2019,July,summer,07-Jul-19,Mojave,M2,24,open,0.7022
2019,July,summer,06-Jul-19,Mojave,M2,25,larrea,1.5516
2019,July,summer,07-Jul-19,Mojave,M2,25,ephedra,1.9464
2019,July,summer,07-Jul-19,Mojave,M2,25,open,0.2133
2019,July,summer,08-Jul-19,Mojave,M2,26,ephedra,1.7379
2019,July,summer,08-Jul-19,Mojave,M2,26,larrea,4.1079
2019,July,summer,08-Jul-19,Mojave,M2,26,open,0.4663
2019,July,summer,06-Jul-19,Mojave,M2,27,larrea,2.1894
2019,July,summer,07-Jul-19,Mojave,M2,27,ephedra,1.4249
2019,July,summer,07-Jul-19,Mojave,M2,27,open,0.3067
2019,July,summer,06-Jul-19,Mojave,M2,28,larrea,1.1963
2019,July,summer,07-Jul-19,Mojave,M2,28,ephedra,1.2152
2019,July,summer,07-Jul-19,Mojave,M2,28,open,0
2019,July,summer,06-Jul-19,Mojave,M2,29,larrea,0.613
2019,July,summer,07-Jul-19,Mojave,M2,29,ephedra,0.9648
2019,July,summer,07-Jul-19,Mojave,M2,29,open,0.4313
2019,July,summer,08-Jul-19,Mojave,M2,30,ephedra,1.2223
2019,July,summer,08-Jul-19,Mojave,M2,30,larrea,0
2019,July,summer,08-Jul-19,Mojave,M2,30,open,0.086
2019,July,summer,08-Jul-19,Mojave,M3,1,ephedra,0.7797
2019,July,summer,08-Jul-19,Mojave,M3,1,larrea,4.0735
2019,July,summer,08-Jul-19,Mojave,M3,1,open,0.0969
2019,July,summer,08-Jul-19,Mojave,M3,2,ephedra,0.0436
2019,July,summer,08-Jul-19,Mojave,M3,2,larrea,0
2019,July,summer,08-Jul-19,Mojave,M3,2,open,0.04
2019,July,summer,08-Jul-19,Mojave,M3,3,ephedra,1.2947
2019,July,summer,08-Jul-19,Mojave,M3,3,larrea,0.8913
2019,July,summer,08-Jul-19,Mojave,M3,3,open,0
2019,July,summer,08-Jul-19,Mojave,M3,4,ephedra,0.1101
2019,July,summer,08-Jul-19,Mojave,M3,4,larrea,0.3044
2019,July,summer,08-Jul-19,Mojave,M3,4,open,0.219
2019,July,summer,08-Jul-19,Mojave,M3,5,ephedra,0.1489
2019,July,summer,08-Jul-19,Mojave,M3,5,larrea,0.7496
2019,July,summer,08-Jul-19,Mojave,M3,5,open,0
2019,July,summer,08-Jul-19,Mojave,M3,6,ephedra,0.2875
2019,July,summer,08-Jul-19,Mojave,M3,6,larrea,1.0139
2019,July,summer,08-Jul-19,Mojave,M3,6,open,0.3769
2019,July,summer,08-Jul-19,Mojave,M3,7,ephedra,0.7204
2019,July,summer,08-Jul-19,Mojave,M3,7,larrea,0.9576
2019,July,summer,08-Jul-19,Mojave,M3,7,open,0
2019,July,summer,08-Jul-19,Mojave,M3,8,ephedra,2.5926
2019,July,summer,08-Jul-19,Mojave,M3,8,larrea,1.1535
2019,July,summer,08-Jul-19,Mojave,M3,8,open,0.4606
2019,July,summer,08-Jul-19,Mojave,M3,9,ephedra,0.352
2019,July,summer,08-Jul-19,Mojave,M3,9,larrea,0.2869
2019,July,summer,08-Jul-19,Mojave,M3,9,open,0.028
2019,July,summer,08-Jul-19,Mojave,M3,10,ephedra,2.0942
2019,July,summer,08-Jul-19,Mojave,M3,10,larrea,0.6731
2019,July,summer,08-Jul-19,Mojave,M3,10,open,0.0657
2019,July,summer,08-Jul-19,Mojave,M3,11,ephedra,0.9534
2019,July,summer,08-Jul-19,Mojave,M3,11,larrea,0.3809
2019,July,summer,08-Jul-19,Mojave,M3,11,open,0.2319
2019,July,summer,08-Jul-19,Mojave,M3,12,ephedra,0.6614
2019,July,summer,08-Jul-19,Mojave,M3,12,larrea,3.41
2019,July,summer,08-Jul-19,Mojave,M3,12,open,0.0675
2019,July,summer,08-Jul-19,Mojave,M3,13,ephedra,0.2934
2019,July,summer,08-Jul-19,Mojave,M3,13,larrea,1.0712
2019,July,summer,08-Jul-19,Mojave,M3,13,open,0.0843
2019,July,summer,08-Jul-19,Mojave,M3,14,ephedra,0.2098
